id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,puskesmas,jenis_kelamin,persentase_pelayanan,satuan,tahun
1,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,KAWALU,LAKI-LAKI,100.0,PERSEN,2018
2,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,KAWALU,PEREMPUAN,100.0,PERSEN,2018
3,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,KARANGANYAR,LAKI-LAKI,104.65,PERSEN,2018
4,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,KARANGANYAR,PEREMPUAN,96.28,PERSEN,2018
5,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,URUG,LAKI-LAKI,103.19,PERSEN,2018
6,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,URUG,PEREMPUAN,94.05,PERSEN,2018
7,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,TAMANSARI,LAKI-LAKI,100.0,PERSEN,2018
8,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,TAMANSARI,PEREMPUAN,100.0,PERSEN,2018
9,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,SANGKALI,LAKI-LAKI,148.33,PERSEN,2018
10,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,SANGKALI,PEREMPUAN,117.19,PERSEN,2018
11,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,CIBEUREUM,LAKI-LAKI,100.0,PERSEN,2018
12,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,CIBEUREUM,PEREMPUAN,100.0,PERSEN,2018
13,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278031,PURBARATU,PURBARATU,LAKI-LAKI,101.57,PERSEN,2018
14,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278031,PURBARATU,PURBARATU,PEREMPUAN,98.08,PERSEN,2018
15,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,TAWANG,LAKI-LAKI,91.67,PERSEN,2018
16,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,TAWANG,PEREMPUAN,103.21,PERSEN,2018
17,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,KAHURIPAN,LAKI-LAKI,91.57,PERSEN,2018
18,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,KAHURIPAN,PEREMPUAN,110.04,PERSEN,2018
19,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,CIHIDEUNG,LAKI-LAKI,100.0,PERSEN,2018
20,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,CIHIDEUNG,PEREMPUAN,100.0,PERSEN,2018
21,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,CILEMBANG,LAKI-LAKI,92.7,PERSEN,2018
22,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,CILEMBANG,PEREMPUAN,97.65,PERSEN,2018
23,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,MANGKUBUMI,LAKI-LAKI,93.06,PERSEN,2018
24,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,MANGKUBUMI,PEREMPUAN,103.28,PERSEN,2018
25,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,SAMBONGPARI,LAKI-LAKI,100.0,PERSEN,2018
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,SAMBONGPARI,PEREMPUAN,100.0,PERSEN,2018
27,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,INDIHIANG,LAKI-LAKI,100.0,PERSEN,2018
28,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,INDIHIANG,PEREMPUAN,100.0,PERSEN,2018
29,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,PARAKANNYASAG,LAKI-LAKI,90.74,PERSEN,2018
